method,matrices,mean_final_cond,median_final_cond,mean_reduction_factor,median_reduction_factor,mean_runtime_sec,median_runtime_sec,mean_objective_evaluations,median_objective_evaluations
Ruiz,11,1.2893824927552654e+16,15068461.633788671,15.051179653076593,1.9844939802909913,0.021580681818167333,0.0051938999999947555,0.0,0.0
L-BFGS,9,4.2555141942916096e+17,22911484.490735766,6.47970334563934,1.6322855642459864,0.20092425555564355,0.18891549999989365,871.3333333333334,819.0
Ruiz-LBFGS,9,1.1933470470129874e+16,23274002.543604705,11.407368496019185,2.823875158999479,0.13535405555568206,0.10585950000040611,574.3333333333334,441.0
SA,9,1.749802686551255e+16,31470549.807422843,10.023701573186996,4.351238652703842,0.6458417599999848,0.7249071999999614,2427.6666666666665,2801.0
GA,9,6.7412404216637416e+16,77774764.24740079,7.251432581844084,2.9302126657425482,0.16612723555558154,0.16295554999965134,540.0,540.0
BO,9,3878389636178515.5,15516.642156293181,2.4895686296507815,1.321319467866847,2.2394073444445186,0.0,6.0,0.0
