matrix,method,runs,best_cond,median_cond,mean_cond,std_cond,worst_cond,mean_runtime_sec,std_runtime_sec,mean_evaluations
A1_3x3,SA,10,38.122292075951805,39.41658697769894,39.64663216928937,1.3496153017353243,42.59350746831098,0.20828844999996363,0.0031635804600610245,841.0
A2_4x4,SA,10,14.660560967559654,15.333056997729585,15.477345088526883,0.653127003789176,16.62139484700371,0.275790379999944,0.0024337234686051,1121.0
Cauchy8,SA,10,31585715161.195766,34465129610.30417,34478127325.578636,2050224096.5271559,38255642422.51665,0.5791108099999291,0.01797174020490608,2241.0
Hilbert10,SA,10,3343456707680.079,3650775006393.2627,3649388896474.362,209659365919.14627,4040739172373.137,0.7536325699999906,0.0254960916826767,2801.0
Hilbert15,SA,10,8.431121115661158e+16,1.2317276653450064e+17,1.5472032590675072e+17,7.763118384407755e+16,3.250551332045523e+17,1.1410918799999308,0.010715524767693566,4201.0
RandomSPD12,SA,10,445187.0428952623,524669.0290437379,511758.2438085694,49414.185981185394,589131.4759255094,0.9027845099999467,0.007637991258543473,3361.0
RandomSpectrum12,SA,10,26001951.4391451,31470549.807422843,31444718.386565983,2421939.376811412,34811972.23063689,0.9432791900001576,0.0464396426162951,3361.0
Rump4,SA,10,2286258459906991.5,2692285542968990.0,2758231970989461.0,401394890858109.4,3708263891083857.0,0.27661982999998147,0.007014141877688749,1121.0
Vandermonde10,SA,10,11852418.356177572,12725599.547168862,12892440.276533589,880628.8692739629,14606066.972435558,0.7319782200000191,0.014110612160986582,2801.0
A1_3x3,GA,10,37.975631688484725,37.97871467250084,37.97962759103307,0.00342515263585647,37.98673939413244,0.16137345000006462,0.024638711532868795,540.0
A2_4x4,GA,10,14.351559625282496,14.385180065468155,14.49945989388902,0.2748575947224141,15.164506247902782,0.15441635999995923,0.009876440598585588,540.0
Cauchy8,GA,10,32284967727.63941,38724308730.50715,41150146872.553314,10545777566.952137,65749957014.63587,0.15810076999996453,0.00343578126442786,540.0
Hilbert10,GA,10,3819089528609.325,4836595827610.502,4836103025293.957,751169580507.4358,5983504114840.055,0.17361714999997274,0.016992228908748182,540.0
Hilbert15,GA,10,1.1752666929922117e+17,3.007909470894423e+17,6.037881635635985e+17,7.500645481513368e+17,2.577219061901211e+18,0.16986633999986225,0.007598808107547409,540.0
RandomSPD12,GA,10,665200.70237644,925377.1347107961,1019057.0000822274,317956.6677180356,1680988.5437036683,0.17628984000002673,0.013333394856704558,540.0
RandomSpectrum12,GA,10,28765104.360445358,72488461.91361846,66438512.56754448,22220267.168857966,94855221.69247912,0.18487112000002526,0.02065972684011314,540.0
Rump4,GA,10,2180765133689944.2,2828109840515282.0,2918597011603501.0,495834984409971.3,3945688650876598.0,0.15078922000020611,0.002025365623317863,540.0
Vandermonde10,GA,10,13871330.307290332,33610361.950745046,53905029.67152451,63296800.06489868,228397465.20126545,0.16582087000015236,0.0065920055463111775,540.0
